Name,PrivacyPolicyURL,Name_Clean,PrivacyPolicyURL_Clean
01ADVERTISING,https://www.01advertising.com/legal/privacy/,01advertising,https://www.01advertising.com/legal/privacy/
180 BY TWO,https://anteriad.com/privacy-policy,180bytwo,https://anteriad.com/privacy-policy
33 MILE RADIUS,https://www.33mileradius.com/privacy-policy/,33mileradius,https://www.33mileradius.com/privacy-policy/
33ACROSS,https://www.33across.com/privacy-policy/,33across,https://www.33across.com/privacy-policy/
360 MEDIA DIRECT,https://www.360mediadirect.com/privacy-policy,360mediadirect,https://www.360mediadirect.com/privacy-policy
4C INSIGHTS,https://www.mediaocean.com/privacy-policy,4cinsights,https://www.mediaocean.com/privacy-policy
4EYESAI,https://4-eyes.ai/privacy-policy/,4eyesai,https://4-eyes.ai/privacy-policy/
4LEGALLEADS,https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926,4legalleads,https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926
5X5 US,https://www.join5x5.com/privacy-policy,5x5us,https://www.join5x5.com/privacy-policy
6SENSE INSIGHTS,https://6sense.com/privacy-policy/,6senseinsights,https://6sense.com/privacy-policy/
700 CREDIT,https://www.700credit.com/privacy-policy/,700credit,https://www.700credit.com/privacy-policy/
A DIRECT MARKETING,https://www.bookyourdata.com/privacy-policy,adirectmarketing,https://www.bookyourdata.com/privacy-policy
ABOVE DATA,https://www.abovedata.io/privacy-policy/,abovedata,https://www.abovedata.io/privacy-policy/
ACCENTURE LLP,https://www.accenture.com/us-en/support/privacy-policy,accenturellp,https://www.accenture.com/us-en/support/privacy-policy
ACCUDATA INTEGRATED MARKETING,https://deepsync.com/privacy-policy/,accudataintegratedmarketing,https://deepsync.com/privacy-policy/
ACCUITY,https://risk.lexisnexis.com/corporate/privacy-policy,accuity,https://risk.lexisnexis.com/corporate/privacy-policy
ACCURATE APPEND,https://accurateappend.com/privacy-policy/,accurateappend,https://accurateappend.com/privacy-policy/
ACH ADDRESS CLEARING HOUSE,https://www.achcoop.com/privacy-policy,achaddressclearinghouse,https://www.achcoop.com/privacy-policy
ACQUIRE MEDIA US,https://www.moodys.com/privatepolicy.aspx?lang=en&cy=global,acquiremediaus,https://www.moodys.com/privatepolicy.aspx?lang=en&cy=global
ACRONYMIX,https://acronymix.com/privacy-policy/,acronymix,https://acronymix.com/privacy-policy/
ACTIVE INTEL INVESTIGATIONS,https://www.activeintel.com/terms-conditions-copy/,activeintelinvestigations,https://www.activeintel.com/terms-conditions-copy/
ACTIVIMPACT,https://www.activimpact.ai/privacy-policy?hsLang=en,activimpact,https://www.activimpact.ai/privacy-policy?hslang=en
ACUANT,https://www.acuant.com/en/privacy-policy/,acuant,https://www.acuant.com/en/privacy-policy/
ACUTRAQ BACKGROUND SCREENING,https://www.acutraq.com/privacy-policy/,acutraqbackgroundscreening,https://www.acutraq.com/privacy-policy/
ACXIOM,https://www.acxiom.com/privacy/,acxiom,https://www.acxiom.com/privacy/
AD DIRECT,https://www.addirectinc.com/privacy.html,addirect,https://www.addirectinc.com/privacy.html
ADADAPTED,https://www.adadapted.com/legal/privacy-policy,adadapted,https://www.adadapted.com/legal/privacy-policy
ADDRESS CLEARING HOUSE,https://www.achcoop.com/privacy-policy,addressclearinghouse,https://www.achcoop.com/privacy-policy
ADEPT ID,https://www.adept-id.com/privacy-policy/,adeptid,https://www.adept-id.com/privacy-policy/
ADSQUARE GMBH,https://adsquare.com/privacy/,adsquaregmbh,https://adsquare.com/privacy/
ADSTRA,https://adstradata.com/privacy-policy/,adstra,https://adstradata.com/privacy-policy/
ADVANTAGE CREDIT,https://www.advcredit.com/privacy-policy-2/,advantagecredit,https://www.advcredit.com/privacy-policy-2/
ADVANTAGE SALES MARKETING,https://take5mg.com/privacypolicy-ca-residents-notice/,advantagesalesmarketing,https://take5mg.com/privacypolicy-ca-residents-notice/
ADVERTISE4SALES,https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926,advertise4sales,https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926
ADVISORTARGET,https://www.finsum.com/index.php/what-we-do/privacy-policy,advisortarget,https://www.finsum.com/index.php/what-we-do/privacy-policy
AFFINITY ANSWERS,https://www.affinityanswers.com/privacy-policy-update/,affinityanswers,https://www.affinityanswers.com/privacy-policy-update/
AFFINITY SOLUTIONS,https://www.affinity.solutions/data-privacy-notice/,affinitysolutions,https://www.affinity.solutions/data-privacy-notice/
AGR MARKETING SOLUTIONS,https://www.agrmarketingsolutions.com/privacy-policy,agrmarketingsolutions,https://www.agrmarketingsolutions.com/privacy-policy
AIDENTIFIED,https://www.aidentified.com/privacy-policy,aidentified,https://www.aidentified.com/privacy-policy
AIS INFOSOURCE LP,https://www.aisinfo.com/privacy?hsLang=en,aisinfosourcelp,https://www.aisinfo.com/privacy?hslang=en
AIS PORTFOLIO SERVICES,https://www.aisinfo.com/privacy?hsLang=en,aisportfolioservices,https://www.aisinfo.com/privacy?hslang=en
AIS RECOVERY SOLUTIONS,https://aisrecovery.com/privacy-policy/,aisrecoverysolutions,https://aisrecovery.com/privacy-policy/
ALC,https://adstradata.com/privacy-policy/,alc,https://adstradata.com/privacy-policy/
ALIKEAUDIENCE,https://www.alikeaudience.com/privacy-policy/,alikeaudience,https://www.alikeaudience.com/privacy-policy/
ALL GOOD MEDIA,https://www.attribits.com/privacy-policy,allgoodmedia,https://www.attribits.com/privacy-policy
ALL WEB LEADS,https://awl.com/privacy/,allwebleads,https://awl.com/privacy/
ALLIANT COOPERATIVE DATA SOLUTIONS,https://alliantinsight.com/alliant-privacy-policy/,alliantcooperativedatasolutions,https://alliantinsight.com/alliant-privacy-policy/
ALLOY,https://www.alloy.us/privacy-policy/,alloy,https://www.alloy.us/privacy-policy/
ALPHONSO,https://lgads.tv/site-privacy-policy/,alphonso,https://lgads.tv/site-privacy-policy/
ALTAIR DATA RESOURCES,https://www.altairdata.com/altair-privacy-policy/,altairdataresources,https://www.altairdata.com/altair-privacy-policy/
ALTISOURCE HOLDINGS,https://www.altisource.com/Privacy-Policy,altisourceholdings,https://www.altisource.com/privacy-policy
AMERICAN CITY BUSINESS JOURNALS,https://www.acbj.com/privacy,americancitybusinessjournals,https://www.acbj.com/privacy
AMERILIST,https://www.amerilist.com/privacypolicy,amerilist,https://www.amerilist.com/privacypolicy
AMPLEMARKET,https://www.amplemarket.com/legal/privacy,amplemarket,https://www.amplemarket.com/legal/privacy
AMRENT,https://www.amrent.com/privacy_policy.html,amrent,https://www.amrent.com/privacy_policy.html
ANALYTICSIQ,https://www.analytics-iq.com/privacy-policy/,analyticsiq,https://www.analytics-iq.com/privacy-policy/
ANCHOR COMPUTER,https://anchorcomputer.com/privacy-policy/,anchorcomputer,https://anchorcomputer.com/privacy-policy/
ANDREWS WHARTON,https://www.andrewswharton.com/privacy,andrewswharton,https://www.andrewswharton.com/privacy
ANNE LEWIS STRATEGIES,https://missionwired.com/privacy-policy/,annelewisstrategies,https://missionwired.com/privacy-policy/
ANSONIA CREDIT DATA,https://www.equifax.com/privacy/,ansoniacreditdata,https://www.equifax.com/privacy/
ANTERIAD,https://anteriad.com/privacy-policy,anteriad,https://anteriad.com/privacy-policy
APIHUB,https://www.clearbit.com/privacy-policy,apihub,https://www.clearbit.com/privacy-policy
APOLLO INTERACTIVE,https://www.apollointeractive.com/privacy-policy.php,apollointeractive,https://www.apollointeractive.com/privacy-policy.php
APPSCIENCE,https://appsci.io/privacy-policy,appscience,https://appsci.io/privacy-policy
ARISTOTLE INTERNATIONAL,https://www.aristotle.com/privacy/,aristotleinternational,https://www.aristotle.com/privacy/
ARITY 875,https://arity.com/privacy/,arity875,https://arity.com/privacy/
ASL MARKETING,https://deepsync.com/privacy-policy/,aslmarketing,https://deepsync.com/privacy-policy/
ASPIRE NORTH,https://www.americanspiritcorp.com/data-services-and-website-privacy-policy.html,aspirenorth,https://www.americanspiritcorp.com/data-services-and-website-privacy-policy.html
ASSET INTERNATIONAL,https://www.issgovernance.com/privacy-legal/,assetinternational,https://www.issgovernance.com/privacy-legal/
ASSURANCE IQ,https://assurance.com/assurance-privacy-practices.html#TopPrivacyPolicy,assuranceiq,https://assurance.com/assurance-privacy-practices.html#topprivacypolicy
ASTORIA COMPANY MARKETING,https://www.astoriacompany.com/privacy-policy/,astoriacompanymarketing,https://www.astoriacompany.com/privacy-policy/
ATDATA,https://www.atdata.com/privacy-policy/,atdata,https://www.atdata.com/privacy-policy/
ATLANTIC FOX TECHNOLOGIES,https://www.atlanticfox.com/privacy-policy/,atlanticfoxtechnologies,https://www.atlanticfox.com/privacy-policy/
ATTOM DATA SOLUTIONS,https://www.attomdata.com/privacy/,attomdatasolutions,https://www.attomdata.com/privacy/
AUDIENCE ACUITY,https://www.audienceacuity.com/privacy-policy/,audienceacuity,https://www.audienceacuity.com/privacy-policy/
AUDIENCERATE LTD,https://www.audiencerate.com/privacy,audiencerateltd,https://www.audiencerate.com/privacy
AUDIGENT,https://www.audigent.com/privacypolicy,audigent,https://www.audigent.com/privacypolicy
AUSTIN CONSOLIDATED HOLDINGS,https://www.equifax.com/privacy/,austinconsolidatedholdings,https://www.equifax.com/privacy/
AUTOMATION RESEARCH,https://info.dataverify.com/privacy,automationresearch,https://info.dataverify.com/privacy
AUTOMOTIVE MASTERMIND,https://www.automotivemastermind.com/privacy-policy,automotivemastermind,https://www.automotivemastermind.com/privacy-policy
AUTOWEB,https://www.autoweb.com/privacy,autoweb,https://www.autoweb.com/privacy
AWL,https://awl.com/privacy/,awl,https://awl.com/privacy/
AWL HOLDINGS,https://awl.com/privacy/,awlholdings,https://awl.com/privacy/
AZAR,https://remodeling.com/privacy-policy/,azar,https://remodeling.com/privacy-policy/
AZERION US,https://www.azerion.com/azerion-global-corporate-privacy-notice/,azerionus,https://www.azerion.com/azerion-global-corporate-privacy-notice/
AZIRA,https://azira.com/privacy-policy/,azira,https://azira.com/privacy-policy/
BACKGROUND INFORMATION SERVICES,https://www.bisi.com/?pg=privacy,backgroundinformationservices,https://www.bisi.com/?pg=privacy
BACKGROUNDCHECKSCOM,https://www.backgroundchecks.com/privacy-policy,backgroundcheckscom,https://www.backgroundchecks.com/privacy-policy
BB DIRECT,https://www.bbdirect.com/privacy.html,bbdirect,https://www.bbdirect.com/privacy.html
BDEX,https://www.bdex.com/privacy-policy,bdex,https://www.bdex.com/privacy-policy
BDO GCI,https://www.bdo.com/privacy-policy,bdogci,https://www.bdo.com/privacy-policy
BDO USA LLP,https://www.bdo.com/website-terms-and-conditions,bdousallp,https://www.bdo.com/website-terms-and-conditions
BEENVERIFIED,https://www.beenverified.com/faq/privacy/,beenverified,https://www.beenverified.com/faq/privacy/
BEESWAX,https://www.beeswax.com/privacy/,beeswax,https://www.beeswax.com/privacy/
BELARDI OSTROY,https://www.belardiwong.com/privacy-policy,belardiostroy,https://www.belardiwong.com/privacy-policy
BELARDI OSTROY ALC,https://www.belardiwong.com/privacy-policy,belardiostroyalc,https://www.belardiwong.com/privacy-policy
BEST PICK REPORTS,https://www.bestpickreports.com/content/privacy-policy,bestpickreports,https://www.bestpickreports.com/content/privacy-policy
BH MARKETING GROUP,https://usmarketinggrp.com/privacy-policy/,bhmarketinggroup,https://usmarketinggrp.com/privacy-policy/
BIGDBM,https://bigdbm.com/privacy-policy/,bigdbm,https://bigdbm.com/privacy-policy/
BIOINTELLI,https://www.biointelli.com/Account/PrivacyPolicy,biointelli,https://www.biointelli.com/account/privacypolicy
BIRCHWOOD CREDIT SERVICES,https://www.birchwoodcreditservices.com/privacy-policy/,birchwoodcreditservices,https://www.birchwoodcreditservices.com/privacy-policy/
BISCRED,https://www.biscred.com/privacy-policy,biscred,https://www.biscred.com/privacy-policy
BLACK PEARL GROUP LIMITED,https://www.blackpearl.com/privacy-policy,blackpearlgrouplimited,https://www.blackpearl.com/privacy-policy
BLACKBAUD,https://www.blackbaud.com/company/privacy-policy/north-america,blackbaud,https://www.blackbaud.com/company/privacy-policy/north-america
BLIS GLOBAL LTD,https://www.blis.com/privacy-centre/,blisgloballtd,https://www.blis.com/privacy-centre/
BLUE ACTION,https://www.blueaction.io/privacy,blueaction,https://www.blueaction.io/privacy
BLUE HILL MARKETING SOLUTIONS,https://www.liftengine.com/privacy-policy/,bluehillmarketingsolutions,https://www.liftengine.com/privacy-policy/
BOARDEX,https://boardex.com/privacy-policy,boardex,https://boardex.com/privacy-policy
BOARDROOM INSIDERS,https://boardroominsiders.com/privacy-policy,boardroominsiders,https://boardroominsiders.com/privacy-policy
BOMBORA,https://bombora.com/privacy-policy/,bombora,https://bombora.com/privacy-policy/
BOOK YOUR DATA,https://www.bookyourdata.com/privacy-policy,bookyourdata,https://www.bookyourdata.com/privacy-policy
BRIDGE,https://www.thebridgecorp.com/privacy-policy/,bridge,https://www.thebridgecorp.com/privacy-policy/
BRIGHTCHECK,https://www.brightcheck.com/privacy-policy,brightcheck,https://www.brightcheck.com/privacy-policy
BROOKS INTEGRATED MARKETING,https://www.brooksim.com/privacy-policy,brooksintegratedmarketing,https://www.brooksim.com/privacy-policy
BTRS HOLDINGS,https://www.billtrust.com/legal/privacy-policy,btrsholdings,https://www.billtrust.com/legal/privacy-policy
BUILDERTREND SOLUTIONS,https://www.buildertrend.com/additional-state-disclosures/,buildertrendsolutions,https://www.buildertrend.com/additional-state-disclosures/
BUSINESSCOM,https://www.business.com/privacy-policy/,businesscom,https://www.business.com/privacy-policy/
BUXTON COMPANY,https://www.buxtonco.com/privacy-policy,buxtoncompany,https://www.buxtonco.com/privacy-policy
BUYERLINK,https://www.buyerlink.com/privacy,buyerlink,https://www.buyerlink.com/privacy
BV INSIGHTS,https://big-village.com/privacy-policy/,bvinsights,https://big-village.com/privacy-policy/
CADENT,https://cadent.tv/website-privacy-policy/,cadent,https://cadent.tv/website-privacy-policy/
CAPPEXCOM,https://www.appily.com/privacy-policy,cappexcom,https://www.appily.com/privacy-policy
CAPTIFY TECHNOLOGIES,https://www.captifytechnologies.com/privacy-notice/,captifytechnologies,https://www.captifytechnologies.com/privacy-notice/
CARCO GROUP,https://www.cisive.com/legal-pages/privacy-and-cookies-policy,carcogroup,https://www.cisive.com/legal-pages/privacy-and-cookies-policy
CARDLYTICS,https://www.bridg.com/privacy-policy,cardlytics,https://www.bridg.com/privacy-policy
CARNEY DIRECT MARKETING,https://www.carneydirect.com/privacy-policy/,carneydirectmarketing,https://www.carneydirect.com/privacy-policy/
CARRY TECHNOLOGIES,https://www.hightouch.com/privacy-policy,carrytechnologies,https://www.hightouch.com/privacy-policy
CASTERS HOLDINGS,https://www.semasio.com/legal/semasio-privacy-policy,castersholdings,https://www.semasio.com/legal/semasio-privacy-policy
CATALINA,https://www.catalina.com/privacy-policy/,catalina,https://www.catalina.com/privacy-policy/
CATALINA MARKETING,https://www.catalina.com/legal#privacy-notice,catalinamarketing,https://www.catalina.com/legal#privacy-notice
CATALIST,https://catalist.us/privacy-policy/,catalist,https://catalist.us/privacy-policy/
CATALYZE AI,https://www.catalyzeai.com/privacy-policy,catalyzeai,https://www.catalyzeai.com/privacy-policy
CBCINNOVIS,https://www.cbcinnovis.com/privacy/,cbcinnovis,https://www.cbcinnovis.com/privacy/
CDK GLOBAL,https://www.cdkglobal.com/privacy-policy,cdkglobal,https://www.cdkglobal.com/privacy-policy
CENGAGE LEARNING,https://www.cengagegroup.com/privacy/,cengagelearning,https://www.cengagegroup.com/privacy/
CENSIA,https://www.censia.com/privacy-policy/,censia,https://www.censia.com/privacy-policy/
CHECKPEOPLE,https://www.checkpeople.com/do-not-sell-info,checkpeople,https://www.checkpeople.com/do-not-sell-info
CHOREOGRAPH,https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english,choreograph,https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english
CHOREOGRAPH LLP,https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english,choreographllp,https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english
CIC MORTGAGE CREDIT,https://www.ciccredit.com/information-security-policy/,cicmortgagecredit,https://www.ciccredit.com/information-security-policy/
CISION US,https://www.cision.com/legal/privacy-policy/,cisionus,https://www.cision.com/legal/privacy-policy/
CITYDATA,https://www.citydata.ai/privacy/do_not_sell_personal_information/,citydata,https://www.citydata.ai/privacy/do_not_sell_personal_information/
CIVIL DATA RESEARCH,https://www.searchpublicrecords.com/help-center/privacy,civildataresearch,https://www.searchpublicrecords.com/help-center/privacy
CIVIS ANALYTICS,https://www.civisanalytics.com/privacy-policy/,civisanalytics,https://www.civisanalytics.com/privacy-policy/
CIVITECH,https://www.civitech.io/privacy-policy/,civitech,https://www.civitech.io/privacy-policy/
CLARITAS,https://www.claritas.com/privacy-legal/,claritas,https://www.claritas.com/privacy-legal/
CLARITY SERVICES,https://www.clarityservices.com/privacy-policy/,clarityservices,https://www.clarityservices.com/privacy-policy/
CLAY LABS,https://www.clay.com/privacy,claylabs,https://www.clay.com/privacy
CLEARCOMPANY,https://www.clearcompany.com/privacy-policy/,clearcompany,https://www.clearcompany.com/privacy-policy/
CLEARVIEW AI,https://www.clearview.ai/privacy-policy,clearviewai,https://www.clearview.ai/privacy-policy
CLICKAGY,https://www.clickagy.com/privacy/,clickagy,https://www.clickagy.com/privacy/
CO2 VENTURES,https://oncoreleads.com/privacy-policy/,co2ventures,https://oncoreleads.com/privacy-policy/
COGNISM,https://www.cognism.com/privacy-policy,cognism,https://www.cognism.com/privacy-policy
COLLECTIVE DATA SOLUTIONS,https://www.collectivedata.io/website-visitor-privacy-policy/,collectivedatasolutions,https://www.collectivedata.io/website-visitor-privacy-policy/
COMMAND PRECISION,https://www.persistent.id/privacy-policy,commandprecision,https://www.persistent.id/privacy-policy
COMMERCIAL REAL ESTATE EXCHANGE,https://www.crexi.com/privacy,commercialrealestateexchange,https://www.crexi.com/privacy
COMPACT INFORMATION SYSTEMS,https://deepsync.com/privacy-policy/,compactinformationsystems,https://deepsync.com/privacy-policy/
COMPILE,https://mckessoncompile.com/privacy-notice?hsLang=en,compile,https://mckessoncompile.com/privacy-notice?hslang=en
COMPLEMENTICS,https://www.complementics.com/privacy,complementics,https://www.complementics.com/privacy
COMPLETE MAILING LISTS,https://www.completemailinglists.com/privacy-policy,completemailinglists,https://www.completemailinglists.com/privacy-policy
COMPLETE MEDICAL LISTS,https://www.completemedicallists.com/privacy.php,completemedicallists,https://www.completemedicallists.com/privacy.php
COMPLIANCE DATA CENTER,https://www.equifax.com/privacy/,compliancedatacenter,https://www.equifax.com/privacy/
COMSCORE,https://www.comscore.com/About/Privacy-Policy,comscore,https://www.comscore.com/about/privacy-policy
CONFICHEK,https://www.peoplefinders.com/about/privacy,confichek,https://www.peoplefinders.com/about/privacy
CONNECTED INVESTORS,https://connectedinvestors.com/privacy-policy,connectedinvestors,https://connectedinvestors.com/privacy-policy
CONNEXT DIGITAL,https://www.connextdigital.com/privacy-policy/,connextdigital,https://www.connextdigital.com/privacy-policy/
CONSIDER,https://consider.com/legal/privacy,consider,https://consider.com/legal/privacy
CONSUMERBASE,https://www.data-axle.com/privacy-policy/,consumerbase,https://www.data-axle.com/privacy-policy/
CONTACTOUT,https://contactout.com/privacy,contactout,https://contactout.com/privacy
CONTEMPORARY INFORMATION CORP,https://www.cicreports.com/legal-and-privacy-policy/,contemporaryinformationcorp,https://www.cicreports.com/legal-and-privacy-policy/
CONVERGE DIRECT,https://www.convergedirect.com/compliance,convergedirect,https://www.convergedirect.com/compliance
CONVEX LABS,https://www.convex.com/privacy-policy/,convexlabs,https://www.convex.com/privacy-policy/
CORELOGIC BACKGROUND DATA,https://www.cotality.com/legal/privacy-policy,corelogicbackgrounddata,https://www.cotality.com/legal/privacy-policy
CORELOGIC CREDCO,https://www.cotality.com/legal/privacy-policy,corelogiccredco,https://www.cotality.com/legal/privacy-policy
CORELOGIC CREDCO OF PUERTO RICO,https://www.cotality.com/legal/privacy-policy,corelogiccredcoofpuertorico,https://www.cotality.com/legal/privacy-policy
CORELOGIC SCREENING SERVICES,https://www.cotality.com/legal/privacy-policy,corelogicscreeningservices,https://www.cotality.com/legal/privacy-policy
CORELOGIC SOLUTIONS,https://www.cotality.com/legal/privacy-policy,corelogicsolutions,https://www.cotality.com/legal/privacy-policy
CORPORATE COST CONTROL,https://www.experianverify.com/privacy,corporatecostcontrol,https://www.experianverify.com/privacy
CORTERA,https://www.moodys.com/privatepolicy.aspx?lang=en&cy=global,cortera,https://www.moodys.com/privatepolicy.aspx?lang=en&cy=global
COSTAR GROUP,https://www.costar.com/about/privacy-notice,costargroup,https://www.costar.com/about/privacy-notice
CRAWLBEE CORP,https://www.crawlbee.com/optout,crawlbeecorp,https://www.crawlbee.com/optout
CREDIT BUREAU OF COUNCIL BLUFF,https://www.creditinfosystems.com/privacy-policy/,creditbureauofcouncilbluff,https://www.creditinfosystems.com/privacy-policy/
CREDIT BUREAU OF COUNCIL BLUFFS,https://www.creditinfosystems.com/privacy-policy/,creditbureauofcouncilbluffs,https://www.creditinfosystems.com/privacy-policy/
CRIMSON HEXAGON,https://www.brandwatch.com/legal/user-privacy-policy/,crimsonhexagon,https://www.brandwatch.com/legal/user-privacy-policy/
CRISIL IREVNA US,https://www.crisil.com/en/home/crisil-privacy-notice.html,crisilirevnaus,https://www.crisil.com/en/home/crisil-privacy-notice.html
