Name,PrivacyPolicyURL,Name_Clean,PrivacyPolicyURL_Clean
VIDEOAMP,https://www.videoamp.com/privacy-policy/,videoamp,https://www.videoamp.com/privacy-policy/
HUNT CLUB,https://www.exploreatlas.io/privacy,huntclub,https://www.exploreatlas.io/privacy
INFORMA USA,https://privacy.informa.com/,informausa,https://privacy.informa.com/
AZERION US,https://www.azerion.com/azerion-global-corporate-privacy-notice/,azerionus,https://www.azerion.com/azerion-global-corporate-privacy-notice/
INTELIUS,https://www.intelius.com/privacy-policy/,intelius,https://www.intelius.com/privacy-policy/
BLACK PEARL GROUP LIMITED,https://www.blackpearl.com/privacy-policy,blackpearlgrouplimited,https://www.blackpearl.com/privacy-policy
WISDOM MEDIA GROUP,https://www.wisdommediagroupllc.com/privacy.php,wisdommediagroup,https://www.wisdommediagroupllc.com/privacy.php
TECHTARGET,https://www.techtarget.com/privacy-policy/,techtarget,https://www.techtarget.com/privacy-policy/
BEESWAX,https://www.beeswax.com/privacy/,beeswax,https://www.beeswax.com/privacy/
FD HOLDINGS,https://www.factualdata.com/privacy/,fdholdings,https://www.factualdata.com/privacy/
REVOPTIMAL,https://www.revoptimal.com/privacy/,revoptimal,https://www.revoptimal.com/privacy/
CONTACTOUT,https://contactout.com/privacy,contactout,https://contactout.com/privacy
GRASSROOTS ANALYTICS,https://www.grassrootsanalytics.com/website-privacypolicy,grassrootsanalytics,https://www.grassrootsanalytics.com/website-privacypolicy
ROQAD,https://www.roq.ad/privacy-policy-roqad/,roqad,https://www.roq.ad/privacy-policy-roqad/
IRYS,https://www.irys.us/privacy-policy,irys,https://www.irys.us/privacy-policy
ORACLE AMERICA,https://www.oracle.com/legal/privacy/privacy-policy/,oracleamerica,https://www.oracle.com/legal/privacy/privacy-policy/
INFORMATIONCOM,https://www.information.com/remove-my-info/,informationcom,https://www.information.com/remove-my-info/
KODDI,https://koddi.com/privacy-policy/,koddi,https://koddi.com/privacy-policy/
GRAVY ANALYTICS,https://docs.gravyanalytics.com/privacypolicy.html,gravyanalytics,https://docs.gravyanalytics.com/privacypolicy.html
ATLANTIC FOX TECHNOLOGIES,https://www.atlanticfox.com/privacy-policy/,atlanticfoxtechnologies,https://www.atlanticfox.com/privacy-policy/
GIANT PARTNERS,https://giantpartners.com/privacy-policy/,giantpartners,https://giantpartners.com/privacy-policy/
