Domain,Emails,Company Name,Privacy Policy URL,Credit Bureau,Phone Numbers,Address,Health,Company Legal Name,Company Domain,Company Domain Aliases,Company Url,Company Site Phone Numbers,Company Site Email Addresses,Company Category Sector,Company Category Industry Group,Company Category Industry,Company Category Sub Industry,Company Category Sic Code,Company Category Naics Code,Company Tags,Company Description,Company Founded Year,Company Location,Company Time Zone,Company Utc Offset,Company Geo Street Number,Company Geo Street Name,Company Geo Sub Premise,Company Geo City,Company Geo Postal Code,Company Geo State,Company Geo State Code,Company Geo Country,Company Geo Country Code,Company Geo Lat,Company Geo Lng,Company Logo,Company Facebook Handle,Company Linkedin Handle,Company Twitter Handle,Company Twitter Id,Company Twitter Bio,Company Twitter Followers,Company Twitter Following,Company Twitter Location,Company Twitter Site,Company Twitter Avatar,Company Crunchbase Handle,Company Type,Company Ticker,Company Identifiers Us Ein,Company Phone,Company Metrics Alexa Us Rank,Company Metrics Alexa Global Rank,Company Metrics Employees,Company Metrics Employees Range,Company Metrics Market Cap,Company Metrics Raised,Company Metrics Annual Revenue,Company Metrics Estimated Annual Revenue,Company Metrics Fiscal Year End,Company Tech,Company Parent Domain,YDR URL
"0ptimus.com","info@0ptimus.com","Øptimus","","","","20 Jay St #203, Brooklyn, NY 11201, USA","","","0ptimus.com","","","","","Information Technology","Software & Services","Internet Software & Services","Internet Software & Services","48","51","Information Technology & Services,Consulting & Professional Services,Technology,Marketing & Advertising,SAAS,B2B,Enterprise","We are a technology and analytics consulting firm located in Washington, D.C. We help clients of all sizes solve their toughest problems.","2013","20 Jay St #203, Brooklyn, NY 11201, USA","America/New_York","-4","20","Jay Street","203","","11201","New York","NY","United States","US","40.7040297","-73.9867893","https://logo.clearbit.com/0ptimus.com","be0ptimus","company/0ptimus","Be0ptimus","1408655448","Big Data Works","1038","140","Washington DC | New York","https://t.co/PP5NK6rB2P","https://pbs.twimg.com/profile_images/378800000712761685/fbe27178a0f33c842fdcc6988c7d98f0_normal.png","organization/0ptimus","private","","","","","3421665","30","11-50","","","","$1M-$10M","","google_apps,cloud_flare,mailchimp,wordpress,resumator,gravity_forms,google_analytics,google_tag_manager,github,hootsuite,apache_spark,hive,apache_hadoop,salesforce,postgresql,mysql","","https://yourdigitalrights.org/d/0ptimus.com","40.7040297,-73.9867893"
"180bytwo.com","connect@180bytwo.com;privacy@180bytwo.com","180byTwo","","","+1 909-340-3259","600 Cleveland St, Clearwater, FL 33755, USA","","","180bytwo.com","","","+1 909-340-3259","connect@180bytwo.com","Information Technology","Software & Services","Internet Software & Services","Internet Software & Services","48","51","Information Technology & Services,Consulting & Professional Services,Technology,Marketing & Advertising,B2B,SAAS,Enterprise","AI-Powered Data and Software Solutions for B2B and Account-Based Marketers #AccountBasedMarketing #B2BMarketing #B2BSales #IntentData","2017","600 Cleveland St, Clearwater, FL 33755, USA","America/New_York","-4","600","Cleveland Street","","Clearwater","33755","Florida","FL","United States","US","27.9660046","-82.7984509","https://logo.clearbit.com/180bytwo.com","","company/180-by-two","180byTWO","8.52E+17","AI-Powered Data and Software Solutions for B2B and Account-Based Marketers #AccountBasedMarketing #B2BMarketing #B2BSales #IntentData","365","2327","United States","https://t.co/evHloqWkjV","https://pbs.twimg.com/profile_images/1366834147730325505/tw6fI1A7_normal.jpg","","private","","","","","1185786","30","11-50","","","","$1M-$10M","","wordpress,nginx,google_tag_manager,hubspot,facebook_advertiser,piwik,google_analytics,conversio,salesforce,oracle_crm","","https://yourdigitalrights.org/d/180bytwo.com","27.9660046,-82.7984509"
"33across.com","drew.paquette@33across.com","33Across","","","+1 888-297-4094","229 W 28th St, New York, NY 10001-5915, US","","","33across.com","","","+1 888-297-4094","","Information Technology","Software & Services","Internet Software & Services","Internet Software & Services","73","54","Technology,Information Technology & Services,Internet,B2B,SAAS","33Across is a publisher monetization company, founded in 2008 by CEO Eric Wheeler.","2007","229 W 28th St, New York, NY 10001-5915, US","America/New_York","-4","229","W 28th St","","New York","10001","New York","NY","United States","US","40.74766","-73.99414","https://logo.clearbit.com/33across.com","33across","company/33across-inc.","33Across","25641708","33Across is a technology company focused on solving the challenge of consumer attention for automated advertising.","1230","654","New York, NY","http://t.co/tdWmqoUwcD","https://pbs.twimg.com/profile_images/996791332172648448/Aizp9so5_normal.jpg","organization/33across","private","","","","6944","25392","90","51-250","","25650000","","$10M-$50M","","google_apps,cloud_flare,wordpress,woo_commerce,dyn_dns,linked_in_advertiser,hubspot,app_nexus,go_squared,facebook_advertiser,piwik,google_analytics,google_tag_manager,salesforce,quickbooks,oracle_data_integrator,apache_tomcat,atlassian_jira,gotomeeting,appnexus,basecamp,teradata,microsoft_project,apache_kafka,aws_redshift,hbase,rabbitmq,github,apache_cassandra,openx,apache_spark,mongodb,windows_server,pubmatic,sap_crystal_reports,hive,apache_hadoop,sage_intacct,oracle_hyperion,postgresql,cloudera,sybase,mysql","","https://yourdigitalrights.org/d/33across.com","40.74766,-73.99414"
"33mileradius.com","legal@evercommerce.com","33 Mile Radius","","","+1 888-594-8381,+1 216-600-0879,+1 888-726-4725","6133 Rockside Rd #400, Independence, OH 44131, USA","","","33mileradius.com","33reviews.io","","+1 888-594-8381,+1 216-600-0879,+1 888-726-4725","","Consumer Discretionary","Media","Media","Advertising","73","54","Marketing & Advertising,B2B","Our exclusive lead generation system takes the hassle out of marketing, letting you focus on completing the jobs that make you money.","2011","6133 Rockside Rd #400, Independence, OH 44131, USA","America/New_York","-4","6133","Rockside Road","400","Independence","44131","Ohio","OH","United States","US","41.3971457","-81.648126","https://logo.clearbit.com/33mileradius.com","33mileradius","company/33-mile-radius","33MileRadius","324674052","33 Mile Radius provides expert lead generation and online marketing services to the home services industry.","834","4184","Independence, OH","http://t.co/SoIltp1SDD","https://pbs.twimg.com/profile_images/651086712504995840/z8Mbeo6L_normal.png","","private","","","","107145","476255","30","11-50","","","","$1M-$10M","","bing_advertiser,google_apps,aws_route_53,cloud_flare,microsoft_exchange_online,mailchimp,outlook,recaptcha,wordpress,bluekai,rubicon_project,facebook_conversion_tracking,appnexus,openx,mongodb,mediamath,pubmatic,trello,mysql","","https://yourdigitalrights.org/d/33mileradius.com","41.3971457,-81.648126"
"360mediadirect.com","privacy@360mediadirect.com;partner@360mediadirect.com;privacy@360mediadirect.com","Media Direct","","","+1 800-258-3350","653 W Fallbrook Ave, Fresno, CA 93711, USA","","","360mediadirect.com","wrss.com,covalentmg.com,subdirect.com","","+1 800-258-3350","partner@360mediadirect.com,privacy@360mediadirect.com","Consumer Discretionary","Media","Media","Advertising","73","54","Marketing & Advertising","360 Media Direct offers the most flexible marketing and advertising platform for delivering the highest quality leads and driving customer engagement.","2004","653 W Fallbrook Ave, Fresno, CA 93711, USA","America/Los_Angeles","-7","653","West Fallbrook Avenue","","Fresno","93711","California","CA","United States","US","36.848967","-119.8044371","https://logo.clearbit.com/360mediadirect.com","","company/360mediadirect","360MediaDirect","1.16E+18","360 Media Direct offers the most flexible marketing and advertising platform for delivering the highest quality leads and driving customer engagement.","14","111","Fresno, CA ","https://t.co/LPrEUHuRan","https://pbs.twimg.com/profile_images/1197242428954173442/ifwlEI7f_normal.jpg","","private","","","","67185","312740","45","11-50","","","","$1M-$10M","","google_apps,aws_route_53,cloud_flare,zendesk,google_tag_manager,hubspot,facebook_advertiser,piwik,google_analytics,conversio","","https://yourdigitalrights.org/d/360mediadirect.com","36.848967,-119.8044371"
"411.com","support@whitepages.com","","https://www.411.com/data-policy","","2069735100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://yourdigitalrights.org/d/411.com","undefined"
"411locate.com","admin@411locate.com","411locate.com","","","+1 862-414-7064,+1 614-327-0511,+1 859-835-3334,+1 417-392-0287,+1 304-215-4082,+1 484-431-1976,+1 630-215-6730,+1 231-620-5847,+1 239-287-8945,+1 815-354-8965","1221 E Pike St, Seattle, WA 98122, USA","","","411locate.com","","","+1 862-414-7064,+1 614-327-0511,+1 859-835-3334,+1 417-392-0287,+1 304-215-4082,+1 484-431-1976,+1 630-215-6730,+1 231-620-5847,+1 239-287-8945,+1 815-354-8965","admin@411locate.com","Information Technology","Software & Services","Internet Software & Services","Internet Software & Services","73","54","Technology,Web Services & Apps,Internet,B2C,Mobile","Locate any person and find old friends or relatives with 411 Locate free people search. Easy to use tool for locating anyone online.","","1221 E Pike St, Seattle, WA 98122, USA","America/Los_Angeles","-7","1221","East Pike Street","","Seattle","98122","Washington","WA","United States","US","47.6139443","-122.3159787","https://logo.clearbit.com/411locate.com","","","411locate","538496813","Since 1994, 411 provides one-click access to more than 200 million adults & businesses across the US  #locate #friends","206","344","US","http://t.co/zF1YlDcD5Y","https://pbs.twimg.com/profile_images/464480977125789696/UGPf0wnO_normal.jpeg","","private","","","","","977428","","","","","","","","google_apps,aws_route_53,recaptcha,google_analytics,google_tag_manager","","https://yourdigitalrights.org/d/411locate.com","47.6139443,-122.3159787"
"4cinsights.com","info@4cinsights.com;InfoSec&Compliance@mediaocean.com;Infosec&Compliance@mediaocean.com;datasecurity@mediaocean.com","Mediaocean","","","+1 312-676-4646,+1 201-402-1700,+1 502-810-5000,+1 212-633-8100,+1 416 929 3372,+31 20 615 0062,+212 5228-63815,+44 20 7255 7000,+33 1 46 10 06 00,+61 3 9207 8400;+1 212-633-5012","45 W 18th St, New York, NY 10011, USA","","","mediaocean.com","4cinsights.com,bcc.com.au,donovandata.com,mediaocean.com.au,mbs-france.net,colspace.com,mediaoceanuk.com,mediaocean.fr,mediaocean.biz,mediaocean.net.in,stationxpress.com,mediaocean.ind.in,moceanforbuyers.com,mediaocean.jp,mediaocean.com.sg,mediaocean.co.in,mediaocean.net.br,mediaocean.tv,mediaocean.in,mediaocean.sg,ddscanada.com,mediaocean.de,dds.de,mbxg.com,dds.co.uk,dds.fr,mediaocean.net,mediaocean.mx,mediaocean.com.mx,dds.ie,mediaocean.ie,mediaocean.com.es,mediaocean.eu,adclock.com,eavails.ca,my-idesk.net,media-ocean.com,mediaocean.net.cn,mediasocean.com,mediaocean.es,mediaocean.us,mediaocean.info,mediaocean.org,medioocean.com,mediaocean.com.br","","+1 312-676-4646,+1 201-402-1700,+1 502-810-5000,+1 212-633-8100,+1 416 929 3372,+31 20 615 0062,+212 5228-63815,+44 20 7255 7000,+33 1 46 10 06 00,+61 3 9207 8400","InfoSec&Compliance@mediaocean.com,Infosec&Compliance@mediaocean.com,datasecurity@mediaocean.com","Information Technology","Software & Services","Internet Software & Services","Internet Software & Services","48","51","Information Technology & Services,Technology,SAAS,B2B,Enterprise","See how we're delivering on our vision to power a world where marketers market the way consumers consume.","2012","45 W 18th St, New York, NY 10011, USA","America/New_York","-4","45","West 18th Street","","New York","10011","New York","NY","United States","US","40.7396285","-73.994072","https://logo.clearbit.com/mediaocean.com","team.mediaocean","company/mediaocean","media_ocean","2316515611","Check out Mediaocean's official Twitter account at @TeamMediaocean.","16","0","New York, NY","http://t.co/CApr9Q8cYD","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","organization/mediabank","private","","454647729","+1 212-633-5012","3219","17849","1500","1K-5K","","40500000","","","","zendesk,microsoft_exchange_online,outlook,microsoft_office_365,marketo,drupal,nginx,google_tag_manager,google_analytics,atlassian_confluence,talend,salesforce,oracle_peoplesoft,sage_50cloud,quickbooks,quest_foglight,oracle_data_integrator,informatica,db2,apache_tomcat,atlassian_jira,bluekai,rubicon_project,microsoft_dynamics,information_builders,gotomeeting,windows_server,filemaker_pro,oracle_application_server,appnexus,basecamp,teradata,microsoft_project,apache_kafka,aws_redshift,hbase,goldengate,rabbitmq,splunk,sap_sales_order_management,ibm_cognos,oracle_business_intelligence,netsuite,aws_dynamodb,apache_http_server,github,qlikview,clearslide,ceridian,sap_concur,neo4j,apache_maven,sap_crm,netsuite_crm,admeld,apache_cassandra,openx,jaspersoft,ibm_websphere,microsoft_power_bi,apache_spark,sap_business_objects,ibm_lotus_notes,iponweb_bidswitch,mongodb,cision,couchbase,rsa_securid,oracle_weblogic,oracle_essbase,mediamath,dstillery,pubmatic,turn,sap_crystal_reports,hive,oracle_crm,microstrategy,apache_hadoop,adobe_marketing_cloud,tibco_spotfire,aws_cloudwatch,couchdb,oracle_hyperion,peoplesoft_crm,postgresql,zoho_crm,cloudera,sybase,oracle_human_resources,trello,mysql,ibm_lotus_domino,dropbox","vistaequitypartners.com","https://yourdigitalrights.org/d/4cinsights.com","40.7396285,-73.994072"
"5x5coop.com","privacy@5x5coop.com","5x5 US LLC ","5x5coop.com/do-not-sell-my-info/","","512-827-9312","P.O. Box 2354, Austin TX, 78768, USA","","","5x5coop.com","join5x5coop.com,5x5datacoop.com,meet5x5coop.com,join5x5.com","","","","Information Technology","Software & Services","Internet Software & Services","Internet Software & Services","73","54","Data & Analytics,Information Technology & Services,Technology,Machine Learning,Integration Services,Computers,E-commerce,Professional Services,Crisis Management,Software Installation,B2B,SAAS,Enterprise,B2C","5x5Coop is a data cooperative that aims to bridge the data divide by enabling organizations to access the data they need at a fixed cost. They believe that data disparities cannot be solved by one data partner alone, so they bring members together to c...","","address address_2","","","","","","","","","","","","","","https://logo.clearbit.com/5x5coop.com","","company/5x5coop","","","","","","","","","","private","","","","","","30","11-50","","","","$1M-$10M","","google_tag_manager,namecheap_dns,piwik,hubspot,go_squared,live_chat,google_apps","","https://yourdigitalrights.org/d/5x5coop.com","undefined"
"6sense.com","privacy@6sense.com","6Sense Insights Inc.","6sense.com/privacy-policy/","","","450 Mission Street, Suite 201, San Francisco CA, 94105, USA","","","6sense.com","datalaab.com,saleswhale.com,fortella.ai,slintel.com,zeniq.io,talkingsense.com","","","","Industrials","Commercial & Professional Services","Professional Services","Consulting","87","54","Information Technology & Services,Technology,Artificial Intelligence,Computer Science,Marketing & Advertising,Advanced Analytics,Digital Marketing,Sales Development,Business Intelligence,Automation,Customer Care,Data & Analytics,Machine Learning,Marketing,Consulting,Professional Services,Agency,B2B,SAAS","6sense is a B2B predictive intelligence engine that reinvents pipeline to revenue with Revenue AI™. It empowers marketing and sales teams with 100% buyer visibility, accurate predictions, and AI-driven insights.","2013","47 Lusk St, San Francisco, CA 94107, USA","America/Los_Angeles","-8","47","Lusk Street","","San Francisco","94107","California","CA","United States","US","37.7783837","-122.3941886","https://logo.clearbit.com/6sense.com","1.40786E+15","company/6sense","6senseInc","2421060835","6sense Revenue AI™ reimagines the way revenue teams create, manage and convert pipeline to revenue. Learn more about us at https://t.co/UC6BFD9pYu","18521","15542","San Francisco","https://t.co/TzozJFCDGP","https://pbs.twimg.com/profile_images/1545411814720262144/s5e9l9aU_normal.jpg","organization/6sense","private","","462587906","+1 415-305-5951","17733","77539","2000","1K-5K","","526000000","","$500M-$1B","12","aws_route_53,mutiny,google_tag_manager,microsoft_office_365,wordpress,microsoft_exchange_online,wistia,cloud_flare,greenhouse,ruby_on_rails,typekit_by_adobe,marketo,sixsense,conversio,appnexus,apache_http_server,dropbox,workday,qliktech,sap_concur,apache_hadoop,dstillery,openx,mediamath,microsoft_dynamics,hootsuite,apache_tomcat,hbase,basecamp,informatica,okta,the_trade_desk,mongodb,pubmatic,oracle_crm,peoplesoft_crm,microsoft_teams,apache_spark,rubicon_project,qlikview,salesforce,oracle_peoplesoft,aws_redshift,teradata,sage_intacct,bluekai,acxiom,github,quickbooks,netsuite,postgresql,mysql,snowflake,adobe_marketing_cloud,sap_crm,aggregate_knowledge,atlassian_jira,oracle_hyperion,hive,iponweb_bidswitch","","https://yourdigitalrights.org/d/6sense.com","37.7783837,-122.3941886"
