Name,PrivacyPolicyURL,LLM Q1,LLM Q2,LLM Q3
knowertechusa,https://knowertech.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 0, 1, 1, 1, 1]"
talx,https://www.equifax.com/privacy,"[1, 1, 1, 1, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
projectapplecart,https://www.applecart.co/privacy,"[1, 1, 2, 2, 2]","[1, 1, 2]","[0, 0, 0, 0, 0, 0]"
lotamesolutions,https://www.lotame.com/privacy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
hexasoftdevelopmentsdnbhd,https://www.ip2location.com/privacy-policy,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
zoominfotechnologies,https://www.zoominfo.com/legal/privacy-policy,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
revcontent,https://www.revcontent.com/policy/privacy-policy#residents-of-the-state-of-california,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
loopmelimited,https://www.legal.loopme.com/privacy-center,"[1, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
iwaveinformationsystems,https://kindsight.io/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
buildertrendsolutions,https://www.buildertrend.com/additional-state-disclosures/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
blueaction,https://www.blueaction.io/privacy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 0, 1, 1, 0, 1]"
id5technologyltd,https://www.id5.io/privacy-policy/,"[1, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
partnerscreditandverificationsolutions,https://www.partnerscredit.com/privacy-policy.html,"[1, 2, 1, 1, 2]","[1, 1, 2]","[0, 0, 0, 0, 0, 0]"
liveintent,https://www.liveintent.com/privacy-policy/,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
socialcatfish,https://www.socialcatfish.com/privacy-lock?action=1,"[1, 0, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
atdata,https://www.atdata.com/privacy-policy/,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
postpilot,https://www.postpilot.com/privacy-policy,"[1, 1, 1, 2, 1]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
evorraltd,https://www.evorra.com/privacy-data-policies/product-privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 1, 1]"
liverampholdings,https://liveramp.com/privacy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
checkpeople,https://www.checkpeople.com/do-not-sell-info,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
mediazod,https://www.leadzod.com/privacy-policy,"[1, 1, 2, 0, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
thealescogroup,https://www.alescodata.com/privacy-policy/,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
tunnl,https://www.tunnldata.com/privacy-policy,"[1, 1, 2, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
similarwebltd,https://www.similarweb.com/corp/legal/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
