Timestamp,1. How familiar are you with data brokers?,2. What types of data do you think data brokers collect? (Select all that apply),3. Which types of your personal data are you comfortable being used for any purpose? (Select all that apply),4. What purposes are you comfortable with your personal data being used for? (Select all that apply),5. Which entities are you comfortable sharing your personal data with? (Select all that apply),6. Which of the following do you think should be included in data privacy laws and policies? (Select all that apply),7. Have you ever tried to request deletion of your data from a data broker?,8. Are you a resident of California?,"9. Have you heard of the California DELETE Act? 
The Act requires the California Privacy Protection Agency (CPPA) to create an accessible universal deletion mechanism by January 1, 2026. Consumers will then be able to access the platform to submit requests and then data brokers must comply with deletion requests starting later in the year.",10. Would you use the California DELETE Act’s deletion tool when it becomes available?
11/2/2025 16:13:40,I have a good understanding of their role and practices,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data, Personal information of individuals under 18, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)",Employment-related data,"Consumer financer decisions (e.g., loans, credit scores)","Government agencies, Educational or research institutions","Right to access personal data, Right to correct personal data, Right to delete personal data, Option to opt out of data collection or sharing",No,Yes,No,Maybe
11/2/2025 16:22:26,I have a basic understanding of their role and practices,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)","Commercial data (e.g., purchasing and transaction history), Employment-related data","Personalized advertising, Law enforcement access without a subpoena","Government agencies, Educational or research institutions","Right to access personal data, Right to correct personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,Yes,No,Maybe
11/2/2025 17:14:17,I have a basic understanding of their role and practices,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)","Commercial data (e.g., purchasing and transaction history)","Marketing, Personalized advertising",Educational or research institutions,"Right to access personal data, Right to correct personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",Yes,Yes,Yes,Yes
11/2/2025 18:03:35,I’ve heard of them but don’t know what they do,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Commercial data (e.g., purchasing and transaction history), Employment-related data, Personal information of individuals under 18, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)",Employment-related data,Personalized advertising,"Government agencies, Educational or research institutions","Right to access personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,Yes,No,Maybe
11/2/2025 18:47:14,I’ve heard of them but don’t know what they do,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Commercial data (e.g., purchasing and transaction history), Network data (e.g., IP address, browsing history)",Employment-related data,"Marketing, Personalized advertising, Employment-related decisions",Educational or research institutions,"Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,No,,
11/2/2025 19:08:52,I’ve never heard of data brokers,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data, Personal information of individuals under 18, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)","Biometric data (e.g., fingerprint, voice, facial recognition)","Marketing, Personalized advertising, Employment-related decisions, Consumer financer decisions (e.g., loans, credit scores)","Corporations, Educational or research institutions","Right to access personal data, Right to correct personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",No,No,,
11/2/2025 20:32:55,I’ve never heard of data brokers,Social Security Number and government ID information,"Reproductive health-related information, Network data (e.g., IP address, browsing history)",Law enforcement access without a subpoena,"Government agencies, Educational or research institutions","Right to access personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,No,,
11/2/2025 21:35:36,I’ve never heard of data brokers,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data, Personal information of individuals under 18, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)",Not sure,None of the above,Educational or research institutions,"Right to access personal data, Right to correct personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,No,,
11/2/2025 22:16:07,I have a basic understanding of their role and practices,"Location data, Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data, Personal information of individuals under 18, Social Security Number and government ID information, Network data (e.g., IP address, browsing history)","Reproductive health-related information, Commercial data (e.g., purchasing and transaction history), Employment-related data","Marketing, Personalized advertising, Consumer financer decisions (e.g., loans, credit scores)","Government agencies, Corporations, Educational or research institutions","Right to access personal data, Right to correct personal data, Protections against discrimination, Option to opt out of data collection or sharing",I didn't know that was possible,No,,
11/2/2025 23:23:28,I’ve never heard of data brokers,Not sure,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Reproductive health-related information, Personal information of individuals under 18, Social Security Number and government ID information","Marketing, Personalized advertising, Employment-related decisions, Consumer financer decisions (e.g., loans, credit scores), Law enforcement access without a subpoena",Educational or research institutions,"Right to access personal data, Right to correct personal data, Protections against discrimination",I didn't know that was possible,No,,
11/3/2025 0:14:18,I’ve never heard of data brokers,"Location data, Biometric data (e.g., fingerprint, voice, facial recognition), Commercial data (e.g., purchasing and transaction history), Network data (e.g., IP address, browsing history)","Employment-related data, Not sure","Marketing, Personalized advertising","Government agencies, Educational or research institutions","Right to access personal data, Right to correct personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,No,,
11/3/2025 0:22:53,I’ve heard of them but don’t know what they do,Not sure,"Commercial data (e.g., purchasing and transaction history)",Personalized advertising,Educational or research institutions,"Right to access personal data, Right to correct personal data, Right to delete personal data, Protections against discrimination, Restrictions on targeted advertising, Option to opt out of data collection or sharing",I didn't know that was possible,No,,
